workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1114632,2012-08-27 14:38:00,2012-08-27 13:32:00,N513ND,10088.0,8000.0,STARTER RING GEAR MISSING TEETH.,2012-08-27,REMOVED & REPLACED STARTER RING GEAR.,start_system_unspecified,start_system unspecified
1116447,2012-10-16 13:52:00,2012-10-16 13:33:00,N557ND,6479.5,8000.0,A/C WILL NOT START.,2012-10-16,RAN A/C & DETERMINED FUEL SERVO TO BE MALFUNCTIONING.,start_system_unspecified,start_system unspecified
1116465,2012-10-16 17:45:00,2012-10-16 15:04:00,N515ND,7554.7,8000.0,CREW REQUIRES START ASSIST.,2012-10-16,STARTED A/C USING NORMAL PROCEDURES.,start_system_unspecified,start_system unspecified
1116475,2012-10-17 06:49:00,2012-10-17 14:03:00,N576ND,6229.1,8010.0,A/C IS HARD TO START (MANY WRITE UPS).,2012-10-17,OPS & LEAK CHECK GOOD.,start_system_unspecified,start_system unspecified
1116475,2012-10-17 06:49:00,2012-10-17 14:03:00,N576ND,6229.1,8010.0,A/C IS HARD TO START (MANY WRITE UPS).,2012-10-17,REMOVED & REPLACED FUEL SERVO W/ S/N 70E09207.,start_system_unspecified,start_system unspecified
1116570,2012-10-20 11:25:00,2012-10-20 15:03:00,N514ND,11629.4,3420.0,STANDBY INDICATOR FAILED AFTER ENGINE START.,2012-10-20,REMOVED & REPLACED STANDBY INDICATOR W/ S/N T91199Q. OPERATIONAL CHECK GOOD.,start_system_unspecified,start_system unspecified
1116614,2012-10-22 10:03:00,2012-10-22 14:55:00,N508ND,5394.9,3460.0,"ON START UP, GPS 1 & 2 DID NOT SHOW A SIGNAL ON AUX PAGE.",2012-10-22,RELOADED GPS 1 & 2 SOFTWARE. AVIONICS OPERATED FOR 2 HOURS W/ NO DISCREPANCIES NOTED. OPS CHECK GOOD.,start_system_unspecified,start_system unspecified
1116806,2012-10-27 12:54:00,2012-10-27 13:40:00,N563ND,7339.0,8000.0,CREW REQUIRES START ASSIST.,2012-10-27,STARTED A/C USING NORMAL PROCEDURES.,start_system_unspecified,start_system unspecified
1117279,2012-11-13 08:30:00,2012-11-13 15:31:00,N552ND,10426.0,7100.0,PILOT COULD NOT GET A/C STARTED.,2012-11-13,"STARTED A/C USING EPU CART, STARTED A/C USING NORMAL PROCEDURES & UNHOOKED CART.",start_system_unspecified,start_system unspecified
1117316,2012-11-13 14:22:00,2012-11-13 15:41:00,N538ND,6329.0,550.0,A/C WILL NOT START IN HILLSBORO.,2012-11-13,PILOT STARTED A/C WHILE MECH ENROUTED TO HILLSBORO. W/O FOR BILLING TRAVEL TIME ONLY.,start_system_unspecified,start_system unspecified
