workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1114877,2012-09-04 07:10:00,2012-09-06 16:02:00,N556ND,7821.599999999999,7100.0,ENG CHANGE DUE.,2012-09-04,REMOVED OLD ENGINE & BEGAN INSTALLATION OF O/H'D ENGINE S/N L-34807-51E. TORQUED ENGINE TO MOUNT.,engine_general_unspecified,engine_general unspecified
1115993,2012-10-02 06:58:00,2012-10-08 10:44:00,N567ND,7058.1,7200.0,ENGINE IS TIMED OUT.,2012-10-08,"ENGINE RUN UP, LEAK CHECK GOOD. SEE W/O #1116129 FOR MAINTENANCE FLIGHT.",engine_general_unspecified,engine_general unspecified
1116033,2012-10-03 10:58:00,2012-10-15 14:57:00,N539ND,9461.4,7710.0,"TACH FAILURE (A/C IN BAUDETTE, MN).",2012-10-15,"FOR BILLING PURPOSES ONLY, WORK PERFORMED BY: BEAR AVIATION. SEE DISCREPANCY PAGE DATED 10/3/12 FOR SIGN OFF.",engine_general_unspecified,engine_general unspecified
1116175,2012-10-09 06:55:00,2012-10-11 13:21:00,N517ND,7897.6,7120.0,ENG MOUNT REQS MORE INVESTIGATION FOR WORN SPOT FORM BREATHER HOSE CLAMP.,2012-10-10,"REPLACED ENG MT W/ SERVICEABLE. TORQUED ON A/C, STARTED ENG INSTALL.",engine_general_unspecified,engine_general unspecified
1116293,2012-10-11 23:06:00,2012-10-12 13:51:00,N551ND,7636.400000000001,580.0,"MAINTENANCE FLIGHT REQUIRED AFTER ROUGH ENGINE NOTED DURING CLIMB, AFTER STOP & GO (REF W/O #1116282).",2012-10-12,PERFORMED MAINTENANCE FLIGHT NOTING NO DISCREPS. COULD NOT DUPLICATE. WADE PETERSEN 3117284 CFI 7/13.,engine_general_unspecified,engine_general unspecified
1116623,2012-10-22 13:47:00,2013-02-28 14:51:00,N556ND,6770.0,550.0,A/C WENT OFF RUNWAY.,2012-10-27,(FUEL LINE AT GASCOLATOR LOOSENED FOR FUEL DRAINING). TRANSPORTED LEFT WING HOME TO GRAND FORKS.,engine_general_unspecified,engine_general unspecified
1116987,2012-10-31 18:04:00,2012-10-31 14:09:00,N510ND,7058.400000000001,7310.0,ENGINE DIED DURING PRACTICE POWER OFF STALL.,2012-10-31,FOUND FUEL SERVO TO BE LEAKING. REMVOED & REPLACED FUEL SERVO W/ S/N 70AG5802. OPS & LEAK CK GOOD.,engine_general_unspecified,engine_general unspecified
1117362,2012-11-14 12:18:00,2012-11-14 13:02:00,N567ND,4907.700000000001,3460.0,TRAFFIC FAIL - ADSB FAILURE.,2012-11-14,"RAN AVIONICES FOR 2 HOURS, SHOOK A/C & CYCLED TRANSPONDER. NO FAILURES DETECTED. COULD NOT DUPLICATE DISCREPANCY.",engine_general_unspecified,engine_general unspecified
1117477,2012-11-16 09:27:00,2012-11-16 15:03:00,N549ND,7293.099999999999,7100.0,LOUD KNOCKING COMING FROM ENG AT 750 RPM.,2012-11-16,OPERATED ENG NOTING NO DISCREPS. INSPECTED ENG NOTING NO DISCREPS.,engine_general_unspecified,engine_general unspecified
1117772,2012-11-27 07:02:00,2012-11-28 10:29:00,N525ND,7412.2,400.0,AD RESEARCH FOR ENGINE CHANGE DUE.,2012-11-28,RESEARCHED AD'S & DETERMINED ENGINE IS IN COMPLIANCE AT THIS TIME.,engine_general_unspecified,engine_general unspecified
