workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1116274,2012-10-11 13:51:00,2012-10-11 14:38:00,N512ND,8512.6,7100.0,"UPON LEVELING OFF AT 1600 FT, EXPERIENCED ENGINE ROUGHNESS. DURING DESCENT TO LANDING WHEN POWER WAS ADDED IT WAS DELAYED.",2012-10-11,"RAN A/C THROUGH VARIOUS POWER & MIXTURE SETTINGS, NO DEFECTS NOTED. COULD NOT DUPLICATE DISCREP.",c_24,engine run rough rough running misfire
1116907,2012-10-30 09:57:00,2012-10-30 14:30:00,N570ND,7027.700000000001,7710.0,"DURING LAST PORTION OF FLIGHT, EXPERIENCED ENGINE ROUGHNESS W/ RPM LOSS OF 30 RPM. NOTICED AT POWER GREATER THAN 2200 RPM.",2012-10-30,REPLACED TACH GENERATOR. COULD NOT DUPLICATE ENGINE ROUGHNESS. ENGINE RUN UP & INDICATION CHECK GOOD.,c_24,engine run rough rough running misfire
1117561,2012-11-19 09:30:00,2012-11-19 15:19:00,N566ND,7677.8,7420.0,#2 LWR SPARK PLUG MISFIRE (FOULED) ON RUN UP.,2012-11-19,OPS CK GOOD.,c_24,engine run rough rough running misfire
1117561,2012-11-19 09:30:00,2012-11-19 15:19:00,N566ND,7677.8,7420.0,#2 LWR SPARK PLUG MISFIRE (FOULED) ON RUN UP.,2012-11-19,"CLEAN, GAPPED, TESTED & INSTALLED PLUG.",c_24,engine run rough rough running misfire
1118535,2013-01-05 08:03:00,2013-01-05 12:34:00,N531ND,3414.2999999999997,7100.0,ROUGH RUNNING ENGINE.,2013-01-05,"RAN A/C, ENGINE RAN SMOOTH. COULD NOT DUPLICATE PROBLEM.",c_24,engine run rough rough running misfire
1119942,2013-02-15 14:23:00,2013-02-15 13:35:00,N531ND,3696.2999999999997,7100.0,ROUGH RUNNING ENGINE DURING TAXI.,2013-02-15,TAXIED A/C NOTING NO ENGINE ROUGHNESS.,c_24,engine run rough rough running misfire
1124066,2013-06-23 15:17:00,2013-06-23 13:44:00,N545ND,9067.4,7410.0,"DURING RUN UP, L/H MAG RAN ROUGH.",2013-06-23,"RAN A/C, CLEARED OFF SPARK PLUGS. OPS CHECK GOOD ON MAG DROPS & FOUND NO ENGINE ROUGHNESS.",c_24,engine run rough rough running misfire
1125021,2013-07-24 15:02:00,2013-07-24 13:40:00,N508ND,7511.099999999999,580.0,MAINTENANCE FLIGHT IS REQUIRED.,2013-07-24,"PERFORMED MX FLIGHT FOR ENGINE ROUGHNESS, OPS CHECK GOOD. COULD NOT DUPLICATE PROBLEM. ANDREW KUGLER 3469684 CFI 6/14.",c_24,engine run rough rough running misfire
1125598,2013-08-13 06:54:00,2013-08-13 13:19:00,N550ND,8801.2,7100.0,ENGINE RAN ROUGH ON RUN UP.,2013-08-13,"RAN A/C, OPS CK OK.",c_24,engine run rough rough running misfire
1125651,2013-08-14 16:08:00,2013-08-14 15:03:00,N572ND,8448.9,7100.0,"AFTER TAKEOFF, EXPERIENCED ENG ROUGHNESS. RAN CKLIST, FOUND R/H MAG BAD, AFTER BURNED OFF MAG & GOT W/IN TOLERANCES.",2013-08-14,RAN A/C NOTING NO ROUGHNESS. BOTH MAGS CK'ED W/IN LIIMITS. COULD NOT DUPLICATE DISCREP.,c_24,engine run rough rough running misfire
