workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1114775,2012-08-30 14:55:00,2012-08-30 00:00:00,N556ND,7821.599999999999,2720.0,L/H STEERING PUSH-PULL ROD JAM NUT BACKED OFF,2012-08-30,TIGHTEN NUT,c_17,pushrod tube
1116238,2012-10-10 14:59:00,2012-10-10 13:31:00,N566ND,7414.7,7230.0,CYL #3 EXT PUSH ROD TUBE SEAL LEAKING AT CASE.,2012-10-10,"REPOSITIONED SEAL, LEAK PERSISTS. DISASSEMBLED & REPLACED SEAL. REASSEMBLED, LEAK CK GOOD.",c_17,pushrod tube
1116406,2012-10-15 13:45:00,2012-10-15 13:21:00,N520ND,6581.0,2310.0,PILOT PTT SWITCH INOP.,2012-10-15,"REPLACED PTT SWITCH, FUNCTION CHECK OK.",c_17,pushrod tube
1116449,2012-10-16 14:03:00,2012-10-17 13:42:00,N531ND,3025.5,7230.0,#2 CYL EXHAUST PUSH ROD TUBE HAS SMALL DENT.,2012-10-17,INSTALLED PUSH ROD SHROUD USING NEW SEALS.,c_17,pushrod tube
1116449,2012-10-16 14:03:00,2012-10-17 13:42:00,N531ND,3025.5,7230.0,#2 CYL EXHAUST PUSH ROD TUBE HAS SMALL DENT.,2012-10-17,CANNED & INSPECTED SERVICEABLE PUSH RODD SHROUD TUBE FROM CORE ENGINE.,c_17,pushrod tube
1116977,2012-10-31 13:57:00,2012-10-31 13:23:00,N575ND,5343.3,2310.0,R/H PTT SWITCH INOPERATIVE.,2012-10-31,"REPLACED R/H PTT SWITCH, FUNCTION CHECK OK.",c_17,pushrod tube
1118110,2012-12-07 18:21:00,2012-12-07 10:54:00,N515ND,7962.4,5210.0,PILOT COULD NOT GET DOOR TO CLOSE ON PASSENGER SIDE.,2012-12-07,"PERFORMED DETAILED VISUAL OF DOOR LATCH ASSY. FOUND PUSH ROD ASSY BENT. REMOVED & REPLACED DOOR LATCH PUSH ROD ASSY W/ ROD ASSY REMOVED, INSPECTED & DETERMINED TO BE SERVICEABLE FROM SURPLUS DOOR (CAN TAG #1567). OPS CHECK GOOD.",c_17,pushrod tube
1118209,2012-12-12 06:59:00,2012-12-15 13:02:00,N570ND,7268.299999999999,7230.0,#3 EXHAUST I/B PUSH ROD SEAL IS LEAKING.,2012-12-12,REPLACED INNER & OUTER PUSH ROD SEALS ON #3 CYL AS WELL AS ROCKER GASKET.,c_17,pushrod tube
1118743,2013-01-14 09:58:00,2013-01-15 10:19:00,N549ND,7642.299999999999,7230.0,#2 EXHAUST DRY LIFTER CLEARANCE IS TOO TIGHT.,2013-01-14,"REMOVED, INSPECTED & DETERMINED TO BE SERVICEABLE PUSH ROD & INSTALLED. CLEARANCE CHECKS GOOD.",c_17,pushrod tube
1119028,2013-01-22 05:28:00,2013-01-22 14:24:00,N522ND,11383.5,2310.0,PASSENGER SIDE PTT SWITCH INOP.,2013-01-22,"REMOVED & REPLACED COPILOTS PTT SWITCH, OPERATIONAL CHECK GOOD.",c_17,pushrod tube
1119032,2013-01-22 06:56:00,2013-01-22 13:59:00,N519ND,7892.5,7200.0,STAND OFF NEEDED FOR FUEL LINE ON TOP OF ENG.,2013-01-22,CLAMPED STAND OFF @ PUSH ROD TUBE.,c_17,pushrod tube
1119096,2013-01-23 06:57:00,2013-01-23 15:02:00,N573ND,7328.2,5230.0,BAGGAGE DOOR MISSING 2 PUSH PINS.,2013-01-23,INSTALLED PUSH PINS.,c_17,pushrod tube
1119178,2013-01-24 11:23:00,2013-01-25 10:42:00,N513ND,11183.9,2300.0,RIGHT CPLT PUSH TO TALK SWITCH INOP.,2013-01-24,REPLACED PUSH TO TALK SWITCH & TESTED OK.,c_17,pushrod tube
1119699,2013-02-08 13:38:00,2013-02-08 15:10:00,N543ND,6879.599999999999,7230.0,CYL #2 INTAKE VALVE PUSH ROD I/B SEAL IS LEAKING.,2013-02-08,LEAK CHECK GOOD.,c_17,pushrod tube
1119699,2013-02-08 13:38:00,2013-02-08 15:10:00,N543ND,6879.599999999999,7230.0,CYL #2 INTAKE VALVE PUSH ROD I/B SEAL IS LEAKING.,2013-02-08,"ROTATED PUSH ROD TUBE TO RESEAT SEAL, TORQUED STUD NUT.",c_17,pushrod tube
1119880,2013-02-14 13:52:00,2013-02-14 11:28:00,N524ND,7125.8,2310.0,COPILOTS PUSH TO TALK INOP.,2013-02-14,REPLACED COPILOTS PUSH TO TALK SWITCH.,c_17,pushrod tube
1120345,2013-03-02 11:58:00,2013-03-05 12:29:00,N574ND,12170.2,2310.0,PTT INTERMITTENT.,2013-03-02,"REPLACED PTT SWITCH, FUNCTION CHECK OK.",c_17,pushrod tube
1120561,2013-03-11 07:43:00,2013-03-12 10:56:00,N572ND,7209.9,2310.0,PUSH TO TALK SWITCH ON LEFT SIDE REQUIRES EXCESS PRESSURE.,2013-03-12,"REPLACED PILOT SIDE PTT SWITCH, OPS CHECK GOOD.",c_17,pushrod tube
1120607,2013-03-11 14:30:00,2013-03-12 10:56:00,N532ND,5379.9,2310.0,RIGHT SIDE PUSH TO TALK BUTTON NOT WORKING.,2013-03-12,"REPLACED COPILOT PTT SWITCH, OPS CHECK GOOD.",c_17,pushrod tube
1120638,2013-03-12 12:32:00,2013-03-15 14:37:00,N523ND,4588.0,7720.0,#2 EGT READ HIGH 100 - 150 DEGREES ABOVE OTHER CYLS.,2013-03-12,"REMOVED & REPALCED #2 CYL PUSH ROD TUBES, GASKET & O-RINGS. REMOVED & REPLACED #2 & 4 ROCKER COVER GASKETS. RAN A/C & FOUND #2 CYL STILL 200 DEGREES HIGHER TEMPERATURE. LEAK CHECK GOOD.",c_17,pushrod tube
1120763,2013-03-17 08:18:00,2013-03-19 13:31:00,N548ND,6004.799999999999,2310.0,RIGHT SIDE PTT INTERMITTENT.,2013-03-17,REPLACED RIGHT SIDE PTT SWITCH. CHECKS OK.,c_17,pushrod tube
1120894,2013-03-21 07:15:00,2013-03-21 14:31:00,N510ND,5383.3,2310.0,PILOT SIDE PTT OCCASIONALLY DOES NOT WORK.,2013-03-21,"REMOVED & REPLACED PUSH TO TALK SWITCH, OPERATIONAL CHECK GOOD.",c_17,pushrod tube
1120928,2013-03-21 16:48:00,2013-03-21 13:47:00,N573ND,7742.8,2310.0,RIGHT PUSH TO TALK SWITCH INOP.,2013-03-21,"REPLACED PUSH TO TALK SWITCH, OPS CHECK GOOD.",c_17,pushrod tube
1120981,2013-03-23 08:07:00,2013-03-23 13:22:00,N572ND,7321.200000000001,2310.0,COPILOTS PUSH TO TALK IS INTERMITTENT.,2013-03-23,"REPLACED PUSH TO TALK SWITCH, OPS CHECK GOOD.",c_17,pushrod tube
1120982,2013-03-23 08:07:00,2013-03-23 13:23:00,N529ND,12093.7,2310.0,PILOTS PUSH TO TALK INTERMITTENT.,2013-03-23,"REPLACED PILOTS PUSH TO TALK SWITCH, OPS CHECK GOOD.",c_17,pushrod tube
1120995,2013-03-23 13:33:00,2013-03-24 13:37:00,N529ND,12096.099999999999,2310.0,PILOTS PTT INOP.,2013-03-23,"REPLACED PILOTS PTT SWITCH, OPS CHECK GOOD.",c_17,pushrod tube
