workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1114877,2012-09-04 07:10:00,2012-09-06 16:02:00,N556ND,7821.599999999999,6100.0,PROPELLER DUE TIME CHANGE.,2012-09-04,REMOVED PROPELLER.,c_46,propeller damage
1114877,2012-09-04 07:10:00,2012-09-06 16:02:00,N556ND,7821.599999999999,6100.0,PROPELLER DUE TIME CHANGE.,2012-09-05,INSTALLED RECONDITIONED PROP S/N AEC23508A. TORQUED & SAFETIED BOLTS.,c_46,propeller damage
1116018,2012-10-03 06:47:00,2012-10-22 13:59:00,N558ND,7224.900000000001,6100.0,PROP IS DUE FOR TIME CHANGE.,2012-10-19,REMOVED PROP.,c_46,propeller damage
1116272,2012-10-11 12:24:00,2012-10-11 14:38:00,N525ND,7014.4,6110.0,PROP NICKED.,2012-10-11,FILED PROP.,c_46,propeller damage
1116347,2012-10-13 12:47:00,2012-10-13 12:07:00,N540ND,6838.200000000001,6110.0,PROP NICKED.,2012-10-13,FILED PROP.,c_46,propeller damage
1116499,2012-10-17 14:06:00,2012-10-18 13:52:00,N526ND,6936.3,6100.0,PROP NICKED.,2012-10-17,REMOVED NICKS FROM PROP.,c_46,propeller damage
1116753,2012-10-25 14:45:00,2012-10-25 10:20:00,N565ND,6870.8,6100.0,PROP BLADES NICKED.,2012-10-25,FILED PROP.,c_46,propeller damage
1117241,2012-11-09 21:35:00,2012-11-13 15:10:00,N508ND,5543.4,6100.0,PROP NICKED.,2012-11-11,REMOVED NICKS FROM PROP.,c_46,propeller damage
1117242,2012-11-09 21:35:00,2012-11-10 13:20:00,N572ND,6504.0,6100.0,PROP NICKED.,2012-11-10,REMOVED NICKS FROM PROP.,c_46,propeller damage
1117243,2012-11-09 21:35:00,2012-11-11 13:26:00,N560ND,3145.2000000000003,6100.0,PROP NICKED.,2012-11-11,REMOVED NICKS FROM PROP.,c_46,propeller damage
1117244,2012-11-09 21:36:00,2012-11-10 13:15:00,N527ND,5460.4,6100.0,PROPELLER NICKED.,2012-11-10,REMOVED NICKS FROM PROPELLER.,c_46,propeller damage
1117322,2012-11-13 15:07:00,2012-11-13 10:52:00,N532ND,3120.6000000000004,6110.0,2 DEEP NICKS ON PROP.,2012-11-13,"REMOVED & REPLACED PROP W/ S/N ACE23559A IAW CESSNA SERVICE MANUAL 61-10-00 REV 26. TORQUED BOLTS TO SPECS & SAFETY WIRED. DAMAGE DETERMINED NOT ""A PROP STRIKE"".",c_46,propeller damage
1117376,2012-11-14 15:09:00,2012-11-14 13:16:00,N516ND,10769.0,6100.0,PROP NICKED.,2012-11-14,REMOVED NICKS FROM PROP.,c_46,propeller damage
1117426,2012-11-15 14:26:00,2012-11-15 15:31:00,N538ND,6367.7,6110.0,PROP CHANGE DUE.,2012-11-15,"REMOVED & REPLACED PROPELLER W/ S/N ADE23533A & SPACER. TORQUED & SAFETIED BOLTS (PROP TSMOH 0.0, TT 2408.3).",c_46,propeller damage
1117499,2012-11-16 13:39:00,2012-11-16 15:25:00,N579ND,5973.6,6110.0,PROP NICKED.,2012-11-16,REMOVED NICKS FROM PROP.,c_46,propeller damage
1117499,2012-11-16 13:39:00,2012-11-16 15:25:00,N579ND,5973.6,6100.0,PROPELLER BULKHEAD CRACKED.,2012-11-16,"REMOVED PROP. REMOVED CRACKED BULKHEAD & REPLACED. REINSTALLED PROP, TORQUED & SAFETIED.",c_46,propeller damage
1117747,2012-11-26 14:24:00,2012-11-27 13:13:00,N539ND,9849.0,6100.0,PROP NICKED.,2012-11-26,BLENDED PROP.,c_46,propeller damage
1117790,2012-11-27 15:00:00,2012-11-27 15:11:00,N515ND,7874.8,6100.0,PROP NICKED.,2012-11-27,BLENDED PROP.,c_46,propeller damage
1117831,2012-11-28 18:05:00,2012-11-28 11:01:00,N528ND,7660.3,6100.0,PROP NICKED.,2012-11-28,REMOVED NICKS FROM PROPELLER.,c_46,propeller damage
1118025,2012-12-05 12:42:00,2012-12-12 14:30:00,N509ND,7507.799999999999,6100.0,PROP TIME CHANGE DUE.,2012-12-05,REMOVED PROP.,c_46,propeller damage
1118025,2012-12-05 12:42:00,2012-12-12 14:30:00,N509ND,7507.799999999999,6100.0,PROP TIME CHANGE DUE.,2012-12-10,"INSTALLED, TORQUED & SAFETIED PROP S/N ACD23532A.",c_46,propeller damage
1118032,2012-12-05 14:55:00,2012-12-05 15:30:00,N546ND,6585.0,6100.0,PROP NICKED.,2012-12-05,BLENDED PROP.,c_46,propeller damage
1118472,2012-12-31 07:04:00,2013-01-10 13:40:00,N537ND,7353.0,6100.0,PROPELLER DUE TIME CHANGE.,2012-12-31,REMOVED PROPELLER.,c_46,propeller damage
1118472,2012-12-31 07:04:00,2013-01-10 13:40:00,N537ND,7353.0,6100.0,PROPELLER DUE TIME CHANGE.,2013-01-09,INSTALLED PROP.,c_46,propeller damage
1119011,2013-01-21 14:24:00,2013-01-23 13:44:00,N559ND,7671.599999999999,6100.0,PROP CHANGE DUE.,2013-01-21,REMOVED PROP & SPINNER BACKPLATE.,c_46,propeller damage
1119138,2013-01-23 14:59:00,2013-01-23 15:06:00,N564ND,7843.6,6100.0,PROP IS NICKED.,2013-01-23,BLENDED PROP.,c_46,propeller damage
1119225,2013-01-25 14:59:00,2013-01-25 13:01:00,N515ND,8143.9,6100.0,PROP NICKED.,2013-01-25,BLENDED PROP.,c_46,propeller damage
1119351,2013-01-29 14:39:00,2013-01-30 11:11:00,N531ND,3594.2999999999997,6100.0,PROP NICKED.,2013-01-29,REMOVED NICKS FROM PROP.,c_46,propeller damage
1119481,2013-02-02 11:02:00,2013-02-02 11:07:00,N522ND,11472.3,6100.0,PROPELLER NICKED.,2013-02-02,REMOVED NICKS FROM PROPELLER.,c_46,propeller damage
1119498,2013-02-03 10:11:00,2013-02-06 14:55:00,N510ND,7481.099999999999,6100.0,PROP IS TIMED OUT.,2013-02-03,REMOVED PROP.,c_46,propeller damage
1119498,2013-02-03 10:11:00,2013-02-06 14:55:00,N510ND,7481.099999999999,6100.0,PROP IS TIMED OUT.,2013-02-05,INSTALLED PROPELLER REAR BULKHEAD ASSY & PROPELLER ASSY S/N ADE23008 IAW CESSNA MM. TORQUED & SAFETIED.,c_46,propeller damage
1119599,2013-02-05 14:15:00,2013-02-05 14:49:00,N563ND,7901.2,6100.0,PROPELLER BLADES NICKED.,2013-02-05,FILED PROP.,c_46,propeller damage
1119604,2013-02-05 14:56:00,2013-02-05 14:55:00,N547ND,6901.5,6100.0,PROP NICKED.,2013-02-05,BLENDED PROP.,c_46,propeller damage
1119647,2013-02-06 14:49:00,2013-02-06 14:29:00,N568ND,6780.3,6110.0,PROPELLER TIME CHANGE DUE.,2013-02-06,REMOVED & REPLACED PROPELLER W/ S/N AED23521A.,c_46,propeller damage
1119649,2013-02-06 15:12:00,2013-02-06 14:34:00,N514ND,12371.9,6100.0,PROP NICKED.,2013-02-06,BLENDED PROP.,c_46,propeller damage
1119794,2013-02-12 15:00:00,2013-02-12 14:46:00,N523ND,4351.6,6100.0,PROP NICKED.,2013-02-12,REMOVED NICKS FROM PROP.,c_46,propeller damage
1119803,2013-02-13 06:22:00,2013-02-15 14:48:00,N540ND,7625.700000000001,6110.0,PROPELLER DUE TIME CHANGE.,2013-02-13,REMOVED PROPELLER & SPACER.,c_46,propeller damage
1119833,2013-02-13 14:58:00,2013-02-13 15:12:00,N551ND,8356.099999999999,6100.0,PROP NICKED.,2013-02-13,BLENDED PROP.,c_46,propeller damage
1119884,2013-02-14 14:58:00,2013-02-14 11:38:00,N564ND,7973.5,6100.0,PROPELLER NICKED.,2013-02-14,REMOVED NICKS FROM PROP.,c_46,propeller damage
1119920,2013-02-15 09:13:00,2013-02-19 11:21:00,N577ND,7861.200000000001,6100.0,PROP NEEDS TO BE REMOVED FOR ENGINE CHANGE.,2013-02-15,REMOVED PROP.,c_46,propeller damage
1119920,2013-02-15 09:13:00,2013-02-19 11:21:00,N577ND,7861.200000000001,6100.0,PROP NEEDS TO BE REMOVED FOR ENGINE CHANGE.,2013-02-15,"REINSTALLED PROP, TORQUED & SAFETY WIRED. DRESSED PROP.",c_46,propeller damage
1119958,2013-02-16 11:18:00,2013-02-16 15:25:00,N515ND,8290.9,6100.0,PROPELLER NICKED.,2013-02-16,REMOVED NICKS FROM PROP.,c_46,propeller damage
1119996,2013-02-19 15:02:00,2013-02-21 13:50:00,N569ND,7488.599999999999,6100.0,PROP DUE TIME CHANGE.,2013-02-19,REMOVED PROP.,c_46,propeller damage
1120227,2013-02-27 07:00:00,2013-03-12 13:15:00,N536ND,7371.599999999999,6100.0,PROP DUE FOR TIME CHANGE.,2013-03-11,REMOVED & REPLACED PROP W/ S/N ADE23004.,c_46,propeller damage
1120243,2013-02-27 15:00:00,2013-02-27 10:47:00,N524ND,7245.2,6100.0,PROP NICKED.,2013-02-27,BLENDED PROP.,c_46,propeller damage
1120274,2013-02-28 16:24:00,2013-02-28 12:39:00,N566ND,8289.2,6100.0,PROP NICKED.,2013-02-28,BLENDED PROP.,c_46,propeller damage
1120318,2013-03-01 14:51:00,2013-03-01 11:07:00,N532ND,5326.799999999999,6100.0,PROP NICKED.,2013-03-01,BLENDED PROP.,c_46,propeller damage
1120340,2013-03-02 09:20:00,2013-03-03 11:30:00,N510ND,5222.8,6100.0,PROPELLER NICKED.,2013-03-02,REMOVED NICKS FROM PROP.,c_46,propeller damage
1120440,2013-03-06 17:52:00,2013-03-11 15:12:00,N549ND,7945.299999999999,6100.0,PROP NICKED.,2013-03-08,FILED PROP.,c_46,propeller damage
1120482,2013-03-07 14:57:00,2013-03-07 09:49:00,N574ND,12198.4,6100.0,PROPELLER NICKED.,2013-03-07,REMOVED NICKS FROM PROP.,c_46,propeller damage
1120642,2013-03-12 14:53:00,2013-03-12 13:18:00,N507ND,6593.700000000001,6100.0,PROP NICKED.,2013-03-12,BLENDED PROP.,c_46,propeller damage
1120715,2013-03-14 15:05:00,2013-03-14 13:42:00,N529ND,12006.099999999999,6100.0,MINOR NICKS ON PROP.,2013-03-14,BLENDED PROP.,c_46,propeller damage
1120742,2013-03-15 15:01:00,2013-03-16 13:23:00,N569ND,5143.8,6100.0,PROP NICKED.,2013-03-15,BLENDED PROP.,c_46,propeller damage
