workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1114877,2012-09-04 07:10:00,2012-09-06 16:02:00,N556ND,7821.599999999999,7100.0,ENG CHANGE DUE.,2012-09-06,"RAN ENGINE, ADJUSTED IDLE SPEED & MIXTURE TO SPECS. OPS & LEAK CHECK GOOD.",c_22,engine idle rpm issue
1115866,2012-09-28 06:47:00,2012-09-28 14:03:00,N529ND,10844.8,7610.0,IDLE MIXTURE CHECK PRODUCES NO RISE.,2012-09-28,ADJUSTED IDLE MIXTURE.,c_22,engine idle rpm issue
1115991,2012-10-01 21:35:00,2012-10-01 15:40:00,N569ND,6691.200000000001,7320.0,HIGH IDLE.,2012-10-01,ADJUSTED IDLE & MIXTURE FOR SEASONAL CONDITIONS. A/C CK GOOD.,c_22,engine idle rpm issue
1116125,2012-10-08 07:13:00,2012-10-08 10:17:00,N572ND,6231.9,7320.0,ENGINE FAILS TO IDLE.,2012-10-08,ADJUSTED IDLE MIXTURE & IDLE RPM. ENGINE IDLE OPS CHECK GOOD.,c_22,engine idle rpm issue
1116366,2012-10-15 07:04:00,2012-10-15 12:54:00,N550ND,7256.400000000001,7600.0,"ON RUN UP, WHEN DOING IDLE CHECK, RPM DROPPED TO ~500, SPITTING & SPUTTERING. SOUNDED LIKE WAS GOING TO QUIT.",2012-10-15,RESET IDLE RPM & MIXTURE SETTINGS. OPS CHECKED GOOD.,c_22,engine idle rpm issue
1116419,2012-10-15 18:19:00,2012-10-15 12:59:00,N521ND,6311.1,7320.0,ENGINE DIES DURING IDLE CK.,2012-10-15,"CHECKED IDLE IAW 172S MM, CH 73-00-01 SEC 7 PAR A, NO DEFECTS NOTED.",c_22,engine idle rpm issue
1116445,2012-10-16 12:44:00,2012-10-16 14:55:00,N521ND,6311.1,7610.0,"ENGINE DIED DURING HOLD SHORT OF RUNWAY. ENGINE IDLE IS AT 400 RPM, THEN DIES.",2012-10-16,"ADJUSTED IDLE RPM, OPS CHECK GOOD.",c_22,engine idle rpm issue
1116447,2012-10-16 13:52:00,2012-10-16 13:33:00,N557ND,6479.5,8000.0,A/C WILL NOT START.,2012-10-16,"FINISHED REMOVAL OF FUEL SERVO & INSTALLED OVERHAULED FUEL SERVO S/N 70200701. OPS CHECK GOOD. SET IDLE & MIXTURE, REFER TO PD #2.",c_22,engine idle rpm issue
1116461,2012-10-16 16:08:00,2012-10-16 15:01:00,N521ND,6311.1,7610.0,ENGINE DIED WHEN THROTTLE REDUCED TO IDLE.,2012-10-16,"ADJUSTED IDLE RPM, IDLE CHECKS GOOD.",c_22,engine idle rpm issue
1116519,2012-10-18 07:38:00,2012-10-19 14:59:00,N515ND,7564.0,7320.0,"IDLE MIXTURE RISE, 60 - 70 RPM.",2012-10-18,ADJUSTED MIXTURE.,c_22,engine idle rpm issue
1116519,2012-10-18 07:38:00,2012-10-19 14:59:00,N515ND,7564.0,7320.0,"IDLE MIXTURE RISE, 60 - 70 RPM.",2012-10-19,OPS CHECKED IDLE & MIXTURE NOTING NO DISCREP.,c_22,engine idle rpm issue
1116588,2012-10-21 10:52:00,2012-10-22 15:27:00,N557ND,6494.2,7200.0,NORMAL COLD ENGINE START PROPER LEAN & NORMAL TAXI. ENGINE FAILED AS STARTED TURN OFF OF RAMP.,2012-10-22,REPLACED FUEL SERVO W/ S/N 70DB1303. REPLACED L/H & R/H MAGNETOS ON PD 2 & 3. ADJUSTED MIXTURE & IDLE SETTINGS. ENGINE RUN UP & LEAK CHECK GOOD.,c_22,engine idle rpm issue
1116604,2012-10-22 07:29:00,2012-10-22 15:23:00,N519ND,7321.9,2410.0,"WHILE RUNNING ENGINE @ IDLE, NOTICED AN EXCESSIVE RATE OF DISCHARGE ON BATTERY.",2012-10-22,"PERFORMED ENGINE RUN, ALTERNATOR & BATTERY WORKING AS DESIGNED. OPS CHECK GOOD.",c_22,engine idle rpm issue
1116735,2012-10-25 08:45:00,2012-10-25 10:34:00,N576ND,6268.099999999999,7810.0,ENGINE DIES WHEN BROUGHT TO IDLE.,2012-10-25,"RAN A/C, ADJUSTED IDLE SPEED. OPS CK GOOD.",c_22,engine idle rpm issue
1116746,2012-10-25 12:20:00,2012-10-25 10:46:00,N569ND,6861.0,7610.0,"DURING RUN UP, ENGINE SHUT DOWN WHEN THROTTLE WAS REDUCED TO IDLE.",2012-10-25,"RAN A/C, ADJUSTED IDLE RPM, OPS CK GOOD.",c_22,engine idle rpm issue
1116793,2012-10-26 18:14:00,2012-10-26 13:00:00,N579ND,5820.299999999999,7300.0,IDLE MIXTURE TOO LEAN.,2012-10-26,"ADJUSTED IDLE MIXTURE TO CESSNA SPECS, OPS CHECK GOOD.",c_22,engine idle rpm issue
1116812,2012-10-27 15:56:00,2012-10-27 13:44:00,N510ND,7020.299999999999,7610.0,ENGINE DIED WHEN THROTTLE WAS REDUCED TO IDLE.,2012-10-27,"RAN A/C, ADJUSTED IDLE RPM. OPS CK GOOD.",c_22,engine idle rpm issue
