workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1115108,2012-09-08 09:17:00,2012-09-08 09:55:00,N537ND,6432.900000000001,7310.0,CYL #4 INJECTOR NOZZLE LEAKING.,2012-09-08,"OPS CHECK GOOD, NO LEAKS.",cylinder_Exhaust_unspecified,cylinder_Exhaust unspecified
1115675,2012-09-24 14:27:00,2012-09-24 15:15:00,N537ND,6626.400000000001,7820.0,MUFFLER IS TIMED OUT.,2012-09-24,REMOVED & REPLACED MUFFLER W/ S/N 1QK37-0004 & R/H SIDE EXHAUST GASKETS.,cylinder_Exhaust_unspecified,cylinder_Exhaust unspecified
1116801,2012-10-27 10:12:00,2012-10-27 13:55:00,N538ND,6248.0,2310.0,COPILOTS MIC BUTTON INOP.,2012-10-27,REMOVED & REPLACED COPILOTS PTT SWITCH. OPERATIONAL CHECK GOOD.,cylinder_Exhaust_unspecified,cylinder_Exhaust unspecified
1117060,2012-11-02 14:36:00,2012-11-02 14:46:00,N571ND,6933.299999999999,7820.0,CENTER EXHAUST SHROUD SCREW MISSING.,2012-11-02,REPLACED CENTER EXHAUST SHROUD SCREW.,cylinder_Exhaust_unspecified,cylinder_Exhaust unspecified
1117133,2012-11-06 06:51:00,2012-11-06 15:31:00,N549ND,7221.700000000001,3240.0,R/H BRAKE CYLINDER LOW ON FLUID.,2012-11-06,SERVICED R/H CYLINDER.,cylinder_Exhaust_unspecified,cylinder_Exhaust unspecified
1117135,2012-11-06 06:56:00,2012-11-06 15:24:00,N562ND,2706.6000000000004,7820.0,MUFFLER HAS BURNED OUT SPOTS/CRACKS IN EXHAUST PIPES.,2012-11-06,REPLACED MUFFLER W/ S/N 24512.,cylinder_Exhaust_unspecified,cylinder_Exhaust unspecified
1117421,2012-11-15 12:58:00,2012-11-15 14:56:00,N560ND,3194.1000000000004,2140.0,ODOR EXPERIENCED ON UPWIND. STRONG BURNING SMELL.,2012-11-15,REMOVED BIRD REMAINS FROM EXHAUST SHROUD. CLEANED EXHAUST SHROUD.,cylinder_Exhaust_unspecified,cylinder_Exhaust unspecified
1117449,2012-11-15 21:48:00,2012-11-15 15:04:00,N507ND,5806.799999999999,2310.0,RIGHT SIDE PTT REQUIRES EXTREME PRESSURE.,2012-11-15,"CLEANED & TESTED, CHECKS GOOD.",cylinder_Exhaust_unspecified,cylinder_Exhaust unspecified
1117747,2012-11-26 14:24:00,2012-11-27 13:13:00,N539ND,9849.0,7320.0,THROTTLE SERVO VALVE CRACKED.,2012-11-27,ADJUSTED AS REQUIRED. OPS & LEAK CK GOOD.,cylinder_Exhaust_unspecified,cylinder_Exhaust unspecified
1117816,2012-11-28 14:27:00,2012-11-28 11:13:00,N514ND,11937.8,7820.0,HARDWARE MISSING FROM EXHAUST SHROUD.,2012-11-28,INSTALLED HARDWARE IN EXHAUST SHROUD.,cylinder_Exhaust_unspecified,cylinder_Exhaust unspecified
